Aote Godssmiter
Cerate Marblefighter
Ddehk Deepsmasher
Drid Mansmasher
Drins Bloodsmiter
Hal Battlecrusher
Hdigh Foefighter
Hitra Wyrmfighter
Iete Fatecrusher
Iida Enemysmiter
Iure Propfire
Katre Waredge
Kokodi Grayhunter
Krolr Clubforger
Lders Glaivehunter
Ndefr Nuggetbreaker
Oaha Vaulthelm
Rdasm Ghoulcutter
Rociha Veinhelm
Roge Slateslayer
Rote Stoneingot
Sirah Enemyslasher
Skit Bladecrusher
Tik Greatender
Uino Quarrybeard
Aora Trollslasher
Ddegh Rockmountain
Dode Enemybreaker
Eiko Tunnelender
Foromo Forgerunner
Gahar Deeptunneler
Gdor Anvilhelm
Gravd Ettinsmasher
Gsirr Prayerfighter
Hari Redslayer
Hegev Godbattler
Hgeds Crystalslayer
Hitoli Steelcarver
Kgemr Prayerhunter
Lekor Hammercrusher
Lodob Keyshaman
Lrors Veincarver
Mer Macefighter
Mfekl Honorarmor
Naleli Warkiller
Nararo Lowmelter
Neku Vaultfist
Nted Badpick
Rotte Earthmace
Tado Stoneflame
Dag Witchtracker
Day Deathslasher
Dehu Quartzsmiter
Dmav Slatechop
Fector Hammerchop
Gadek Evilslayer
Gana Oathbreaker
Girab Vaultgauntlet
Hebmo Honorcut
Hekge Badsmelter
Hurrir Cairngauntlet
Iiso Godstracker
Kemo Ettinfighter
Kum Enemyhunter
Lor Honormelter
Marhil Blackgem
Mekto Fiendcutter
Oasi Golddigger
Oeto Propquartz
Ritila Hammertunneler
Rkah Armorbattler
Sirrer Gravelvictor
Targe Clubmaker
Tmogr Anvilworker
Tokhet Deepbreaker
